,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,Trades,WinRate_t,CRV,Expectancy_EUR,NetProfit_EUR,N_days,EndBalance_EUR,AvgWin_EUR,AvgLoss_EUR,RoundTrips_pa,ContinuousSleeve
REV|z1.5|h1,0.015342117188722026,0.040356285314937464,0.39758379896008184,0.11850058159316502,-0.10648514557905231,0.1440775340569203,1.3769698041916911,0.02396259497369959,71,0.704225352112676,0.7321954437770605,314.4081125689042,22968.029324646923,3422,122968.02932464692,1047.0864734878137,-1430.0641753332618,5.230049693072202,False
REV|z1.5|h3,0.03354513798386316,0.054847270706085104,0.6290585455368797,0.2543339651936094,-0.09666956723103293,0.3470082565249602,1.4464726873945806,0.04763296317942724,60,0.8,0.6095877508829969,783.4960290615343,56525.395546841,3422,156525.395546841,1660.267837991459,-2723.591206658166,4.382928968137971,False
REV|z1.5|h5,0.031461086047620324,0.0646039788016504,0.5120145314598762,0.22292689318503828,-0.15858634154142592,0.1983845881166384,1.2960302000578174,0.06545879602571596,56,0.7321428571428571,0.7638864905997315,812.1249434146891,52293.41807810718,3422,152293.41807810718,2128.810250206149,-2786.814895148634,4.088278281204326,False
VIXTS|d1.0|w0.0,0.10999337292711209,0.1310045954080109,0.8623729469439599,1.0862409427805282,-0.29796534985405365,0.3691482012287265,1.1694621098555171,0.5078901227352426,87,0.41379310344827586,3.856463132248159,1885.875451706591,312498.2074340175,3422,412498.2074340175,7203.861345587117,-1867.9969439737813,6.3349897690733705,False
VIXTS|d1.0|w0.3,0.11825941251038619,0.13480330697275766,0.8968833051366621,1.1656524587861528,-0.2849101599388686,0.41507615079701043,1.170462297543572,0.548801870251315,1,1.0,,356223.00024677324,356223.00024677324,3422,456223.00024677324,356223.00024677324,,4.434492838351359,True
VIXTS|d1.05|w0.0,0.08212652922738672,0.11521605820366604,0.7428935079728729,0.8678964932957616,-0.27833690932564636,0.29506158355484574,1.1558553113682317,0.4482758620689655,146,0.410958904109589,2.721709618912675,822.6509131966966,192061.34250167367,3422,292061.3425016737,4228.791329097848,-1553.726121152944,10.717918737211342,False
VIXTS|d1.05|w0.3,0.09898427457238279,0.12095859163449495,0.8410791162521309,1.0646023149643433,-0.2574415477712467,0.3844922291266546,1.1622889986523481,0.5485096434833431,1,1.0,,260278.41760083742,260278.41760083742,3422,360278.4176008374,260278.41760083742,,7.5025431160479386,True
VIXTS|c1.5,0.036116476503439854,0.042307278051781944,0.8598425513165917,1.1222372606338593,-0.09868516581878628,0.3659767524711856,1.1582848230276561,0.5414962010520163,14,0.5714285714285714,7.11099717262575,3687.500935258167,61896.974551803374,3422,161896.97455180337,7213.989257165513,-1014.4834939516271,5.1553237508173275,False
VIXTS|c2.0,0.04802404228047319,0.0564097040690426,0.8598425513165915,1.122237260633859,-0.13000899280769995,0.36939015712172263,1.1582848230276561,0.5414962010520163,14,0.5714285714285714,7.181921936200662,4987.085532118725,89072.5941294466,3422,189072.5941294466,9745.065913141589,-1356.888309245097,6.87376500108977,False
TOM|l3f2,0.0397182872886217,0.0757959690411324,0.5518365115099924,0.3882563100863362,-0.13074247651951743,0.3037902321109276,1.220447563752109,0.12945645821157217,165,0.5757575757575758,1.2258824327573197,346.88783821721216,69708.74862197388,3422,169708.74862197388,1510.2664009603225,-1231.9830683627233,12.08067816427945,False
TOM|l3f3,0.04240039452421529,0.08529887283925304,0.5295790829513473,0.3943315019347219,-0.15478181081656606,0.27393654526024735,1.1923632699022446,0.1548801870251315,165,0.6181818181818182,0.9963208291389496,374.79928492247467,75751.0670075769,3422,175751.0670075769,1595.2050362659793,-1601.0957410622475,12.08067816427945,False
TOM|l4f2,0.05552214478934281,0.08501351993742016,0.6781143917772664,0.5283862590090237,-0.13075600760285533,0.42462404448734764,1.2572943688880795,0.15604909409701928,165,0.6,1.2784365159146382,475.0219335193868,108291.57426286105,3422,208291.57426286105,1654.4494807921521,-1294.119387389761,12.08067816427945,False
TOM|l4f3,0.05824502041486568,0.09358283568776048,0.6517691693114921,0.5308723223483472,-0.15611816483804142,0.3730829175150096,1.226618144674242,0.18147282291057862,165,0.6121212121212121,1.149933451212671,502.02005707076387,115707.59741401928,3422,215707.59741401928,1826.7511361120653,-1588.5711770412895,12.08067816427945,False
TOM|l5f2,0.05689983896882178,0.09058655505219182,0.6562247037815836,0.5353636877697762,-0.13400566660880853,0.4246077080824104,1.2275508400131185,0.18322618351841027,165,0.6060606060606061,1.2243780421764874,487.9727698329513,112013.822070753,3422,212013.822070753,1716.3159385310857,-1401.785951241102,12.08067816427945,False
TOM|l5f3,0.0596262685604263,0.09867281698697063,0.6363520662111763,0.5417194358576486,-0.15927300770101271,0.37436518228095955,1.204976220793818,0.2086499123319696,165,0.6484848484848484,0.9980815843240508,512.7691610089263,119562.37231051445,3422,219562.37231051445,1730.6090466551557,-1733.9354556142903,12.08067816427945,False
ON|base,0.019894534939873587,0.07510295759162379,0.3000168251040414,0.3373346175346582,-0.20653981118590503,0.096323003423135,1.0680719409313226,0.5140268848626535,1,1.0,,30669.75052100258,30669.750521002585,3422,130669.75052100258,30669.75052100258,,0.0,True
ON|vix25,0.009046386462879585,0.05011907784762501,0.20479646563834064,0.22895925258365582,-0.15051203793669354,0.060104072650219255,1.0432562311093279,0.4520748100526008,58,0.43103448275862066,1.7557151774314104,253.8389778615156,13008.388552051154,3422,113008.38855205115,2372.9996300408525,-1351.5857586379823,4.198772288804443,False
