,Baseline,B: Regime-Gate+Richtung,C: Regime-TP (VWAP/1/2sd),D: skip erste 30min,D+B: skip30 + Regime
2013-06-14,87255.18475892067,80249.32201327378,86103.10546905622,90197.5223537635,81278.18499002204
2013-06-17,87372.94471628229,80357.62682936802,86219.31057545482,90197.5223537635,81278.18499002204
2013-06-18,87708.88164087087,80666.5908240228,86550.81193584639,90397.79839955398,81458.65639404781
2013-06-19,87735.30763438008,80613.25020080613,86785.98313653596,90425.03454245151,81395.83156684031
2013-06-20,86879.20117155064,79826.63958362794,85939.14002343241,90066.03262091793,81072.67703242209
2013-06-21,86879.20117155064,79826.63958362794,85939.14002343241,90066.03262091793,81072.67703242209
2013-06-24,86407.62076277468,79393.34048765991,85472.6622677026,89229.37541214873,80319.5624819135
2013-06-25,86224.73494774051,79393.34048765991,86099.49937018885,89229.37541214873,80319.5624819135
2013-06-26,85317.08158998327,79393.34048765991,85732.78261526891,88085.8827246594,80319.5624819135
2013-06-27,85395.08979517707,79465.93242212795,85811.17090954073,88085.8827246594,80319.5624819135
2013-06-28,85395.08979517707,79465.93242212795,85811.17090954073,88085.8827246594,80319.5624819135
2013-07-01,85328.31692012836,79403.79572563896,85744.07268871012,87866.70901951313,80119.71279476312
2013-07-02,85328.31692012836,79403.79572563896,85744.07268871012,87866.70901951313,80119.71279476312
2013-07-03,85328.31692012836,79403.79572563896,85744.07268871012,87866.70901951313,80119.71279476312
2013-07-05,85328.31692012836,79403.79572563896,85744.07268871012,87866.70901951313,80119.71279476312
2013-07-08,86123.3578791391,80143.63534959283,86542.98742464388,88098.60462834204,80331.16272597214
2013-07-09,86006.8647169312,80035.23054812408,86425.92665831656,87810.67246187144,80068.61684551957
2013-07-10,86443.64522656087,80441.68448528586,86864.83534793426,88256.61349686966,80475.2403329148
2013-07-11,86379.54358920205,80382.03355693948,86800.42138019709,88074.35321350899,80309.04950000781
2013-07-12,86379.54358920205,80382.03355693948,86800.42138019709,88074.35321350899,80309.04950000781
2013-07-15,86259.40839480395,80380.45037398479,86626.85673283039,87797.67995641202,80309.04950000781
2013-07-16,86042.70964345013,80234.9611766813,86287.40475497731,87474.79926459189,80032.54034346968
