date,dir,entry,exit,contracts,reason,pnl_gross,pnl_net,bar,q
2020-07-29,1,10624.007744971204,10608.39,2,SL,-624.7097988481983,-644.7097988481983,159,
2020-07-30,1,10598.934868646244,10614.24806383387,2,TP,612.5278075050301,602.5278075050301,16,
2020-07-30,1,10601.455477301184,10587.35,2,SL,-564.2190920473513,-584.2190920473513,24,
2020-07-30,1,10577.14,10567.2,1,SL,-198.7999999999738,-208.7999999999738,26,
2020-07-30,-1,10601.542526282761,10606.96,1,BE,-108.34947434475907,-118.34947434475907,92,
2020-08-03,1,11027.69044124325,11045.56054972778,2,TP,714.8043393811531,704.8043393811531,26,
2020-08-03,1,11031.954262172176,11028.52,2,BE,-137.3704868870118,-157.3704868870118,54,
2020-08-03,1,11031.617623148817,11015.03,2,SL,-663.5049259526568,-683.5049259526568,77,
2020-08-03,-1,11051.414785828523,11067.35,1,SL,-318.70428342954256,-328.70428342954256,182,
2020-08-04,-1,11050.479070923437,11063.14,3,SL,-759.6557445937651,-789.6557445937651,15,
2020-08-04,-1,11063.52,11069.93,4,SL,-512.7999999999884,-552.7999999999884,17,
2020-08-04,1,11061.62523471979,11042.89,2,SL,-749.4093887916097,-769.4093887916097,114,
2020-08-05,1,11084.892813583529,11100.94374336402,2,TP,642.0371912196424,632.0371912196424,19,
2020-08-05,-1,11106.35,11110.81,4,SL,-356.79999999993015,-396.79999999993015,21,
2020-08-06,-1,11113.393983696686,11121.09,3,SL,-461.7609781988722,-491.7609781988722,28,
2020-08-06,-1,11126.32,11130.62,4,SL,-344.0000000000873,-384.0000000000873,30,
2020-08-06,1,11112.92420606946,11140.981104099421,1,TP,561.1379605992261,556.1379605992261,98,
2020-08-10,-1,11155.05,11141.82914194971,3,TP,793.2514830173022,778.2514830173022,18,
2020-08-10,1,11141.569799208002,11130.54,3,SL,-661.787952480081,-691.787952480081,21,
2020-08-10,1,11126.25,11119.22,1,SL,-140.6000000000131,-150.6000000000131,23,
2020-08-11,-1,11022.820871171334,11041.69,1,SL,-377.38257657332724,-387.38257657332724,16,
2020-08-11,1,11003.583942025558,10972.86,1,SL,-614.4788405111467,-624.4788405111467,35,
2020-08-11,-1,11023.73228631265,11028.8,1,BE,-101.35427374698338,-111.35427374698338,92,
2020-08-12,1,10994.142692888128,11005.669941269098,3,TP,691.6349028581681,676.6349028581681,17,
2020-08-13,1,11201.141975291372,11186.15,2,BE,-599.67901165488,-619.67901165488,25,
2020-08-13,-1,11219.90918806972,11196.84233781493,1,TP,461.33700509581104,456.33700509581104,45,
2020-08-13,1,11195.13,11218.73997249821,2,TP,944.3988999284193,934.3988999284193,54,
