date,time,volume
2026-08-18,10:25,444417
2026-08-18,10:30,387090
2026-08-18,10:35,546474
2026-08-18,10:40,404735
2026-08-18,10:45,375061
2026-08-18,10:50,497885
2026-08-18,10:55,469333
2026-08-18,11:00,462120
2026-08-18,11:05,342508
2026-08-18,11:10,301549
2026-08-18,11:15,348711
2026-08-18,11:20,326194
2026-08-18,11:25,263936
2026-08-18,11:30,386741
2026-08-18,11:35,260768
2026-08-18,11:40,398746
2026-08-18,11:45,416330
2026-08-18,11:50,194237
2026-08-18,11:55,229765
2026-08-18,12:00,198610
2026-08-18,12:05,185821
2026-08-18,12:10,122339
2026-08-18,12:15,166128
2026-08-18,12:20,155592
2026-08-18,12:25,240325
2026-08-18,12:30,155634
2026-08-18,12:35,202447
2026-08-18,12:40,113118
2026-08-18,12:45,168244
2026-08-18,12:50,149309
2026-08-18,12:55,412159
2026-08-18,13:00,257158
2026-08-18,13:05,208302
2026-08-18,13:10,126300
2026-08-18,13:15,123137
2026-08-18,13:20,149089
2026-08-18,13:25,148242
2026-08-18,13:30,302759
2026-08-18,13:35,138634
2026-08-18,13:40,121558
2026-08-18,13:45,104516
2026-08-18,13:50,100285
2026-08-18,13:55,203563
2026-08-18,14:00,373405
2026-08-18,14:05,1146482
2026-08-18,14:10,332283
2026-08-18,14:15,402236
2026-08-18,14:20,250132
2026-08-18,14:25,230834
2026-08-18,14:30,225951
2026-08-18,14:35,177403
2026-08-18,14:40,221217
2026-08-18,14:45,281604
2026-08-18,14:50,291691
2026-08-18,14:55,264171
2026-08-18,15:00,384418
2026-08-18,15:05,218237
2026-08-18,15:10,262138
2026-08-18,15:15,227850
2026-08-18,15:20,373300
2026-08-18,15:25,269239
2026-08-18,15:30,418605
2026-08-18,15:35,351624
2026-08-18,15:40,562829
2026-08-18,15:45,986099
2026-08-18,15:50,1662877
2026-08-18,15:55,5893584
2026-08-19,09:30,2772579
2026-08-19,09:35,576086
2026-08-19,09:40,491390
2026-08-19,09:45,654143
2026-08-19,09:50,710671
